评论,时间
包装礼盒：很可爱很好 非常不错 送给*** 奶奶很喜欢 保佑平安健康！ 外观设计：端庄优雅  做工形式：做工很细致 很精细 很漂亮,2026年3月10日
项链特别精美，又显高档，女人要带玉，要靠玉养。是正品！,2026年3月11日
好看 适合女生带 ，质量靠谱，很喜欢,2026年3月5日
真心不错，很喜欢的款式，中国黄金值得信赖，是真玉石，做工也精美。,2026年3月12日
挺好看的，个人很喜欢，下次还会回购 整体评价： 包装礼盒： 包装礼盒：,2026年4月9日
非常好看戴上去非常有气质做工也非常仔细喜欢的朋友们快去下单吧他好看特别好特别好看非常喜欢非常喜欢非常喜,2026年2月7日
是预期想要的效果，到货戴着去参加公司年会，非常幸运的中了个二等奖😀😀😀,2026年2月9日
很好👌很喜欢😘形状非常的满意，下次还回购,2026年3月12日
很好看哦，送妈**，我觉得很合适，还有小的礼品袋，证书也是齐全的,2026年1月31日
还可以吧买回来随便带带说不上很满意有钱的可以买贵点得,2026年3月22日
产品特别好 手感非常不错性价比很高很推荐,2026年2月9日
成色很好，不错很满意，早就想很老婆买了,2026年2月8日
挺好看的，价格也不贵，金珠还是足金的，不用担心会掉色了，虽然只有0.05克金，但也很划算了！玉也很润，编绳也很漂亮，可以闭眼入！,2026年1月4日
特别好看，很喜欢，妈妈也很喜欢,2026年3月4日
非常好看，很适合戴着，并且货真价实,2026年1月28日
很好看，价格适中，项链配色不错，佛公笑容爆满，颜色非常透亮。喜欢喜欢,2025年12月29日
不错可以购买的,2026年4月1日
货已收到，样式很喜欢，挺满意的，物流也快,2025年12月8日
很喜欢  质感很好  ,2025年11月7日
很好看 朋友很喜欢 方便佩戴 很不错的项链,2025年11月3日
高端大气上档，送朋友了,2025年11月12日
质感看起来非常好，挺适合我的对女生有好处,2025年10月22日
买了一个多月了吧，挺好看的，服务态度很好！值得购买,2025年10月15日
外观设计：超级好 整体评价：超级好 包装礼盒：超级好 做工形式：超级好,2025年10月18日
有点小，光泽也没有很好，一般吧。,2026年3月13日
和佛有缘，已收到，甚是欢喜，望从此开始庇佑家人万事顺心如意健康长寿福运常青财运亨通滚滚来，阿弥陀佛🙏🙏🙏🙏🙏🙏🙏🙏🙏,2025年9月13日
定个项链虽然颜色暗了点，但还是很不错的，客服务也好，挺好的一次购物。,2025年9月11日
特别好，玉挺好的，包装也好，很高级,2025年9月17日
弥勒佛笑口常开，给人带来愉悦，和田玉晶莹透亮的雕工也很细腻 ，玉佛的寓意也很好哦~非常和我的眼缘，玉质细腻油润，颜色很纯正，黑绳上面搭配的金珠是足金的材质，佩戴起来显白又好看，真的很喜欢~,2025年3月10日
是不是玉不知道，只要没有毒就行，证书上还写了玛瑙，不知道玛瑙指的是弥勒佛，还是链子上的小珠子，但是实物还是很好看的，送人的，包装也可以,2025年6月2日
玉看着不错很好，我很喜欢,2025年6月28日
和图片无差别，很好,2025年7月10日
和田玉弥勒佛项链堪称送礼佳品！玉扣莹润通透，弥勒佛神态生动*真，笑面盈盈超有灵气，寓意诸事顺遂、喜乐常伴，是最暖心的祝福。设计简约大气，男女老少都能戴，日常搭配超百搭，正品带权威证书，包装精美还配礼品袋，送出去既有质感又显诚意！,2026年2月9日
整体评价：很满意 包装礼盒：中国黄金礼盒送人有面子 外观设计：玉佛栩栩如生,2025年10月7日
项链绳子不是很好，吊坠还可以,2025年9月16日
美观优雅华丽,2025年4月9日
莹透柔和泛柔光，质地致密，古典造型韵味足,2025年5月22日
